,Player,Agents,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
387,runneR DIA,,227,1.03,234.1,1.03,70%,147.9,0.8,0.22,0.19,0.16,26%,,0/9,25,181,176,49,44,37
388,hoody GIA,,201,1.03,207.7,1.01,69%,139.6,0.72,0.31,0.07,0.09,24%,7%,2/28,21,145,144,63,15,19
389,kaajak inco,,396,1.03,234.0,1.06,69%,150.9,0.81,0.17,0.16,0.17,30%,17%,6/36,26,320,303,68,64,67
390,JayH BLD,,206,1.03,184.0,1.01,77%,126.5,0.64,0.35,0.05,0.04,23%,17%,4/24,25,132,131,72,11,8
391,Lime FKS,,326,1.03,207.5,1.05,68%,143.2,0.72,0.19,0.11,0.09,27%,17%,4/24,25,236,224,61,36,28
392,nabil o7,(+3),246,1.03,254.1,1.16,71%,163.7,0.88,0.24,0.16,0.14,22%,16%,3/19,25,217,187,58,39,35
393,YRSelect GFN,(+1),261,1.03,217.8,0.98,73%,143.5,0.72,0.32,0.14,0.14,21%,5%,1/22,23,187,191,83,37,36
394,Tisora ODK,,327,1.03,231.2,1.07,73%,151.4,0.8,0.18,0.24,0.15,24%,11%,3/28,30,263,246,58,78,50
395,tinchoff AK,,302,1.03,198.3,1.05,74%,136.0,0.7,0.21,0.08,0.05,27%,16%,9/55,23,211,201,63,24,14
396,theia EG.GC,(+1),517,1.03,172.0,0.99,75%,107.8,0.6,0.42,0.06,0.08,24%,23%,15/64,19,312,315,219,29,40
397,Wailers M8,(+1),269,1.03,181.2,0.98,75%,120.1,0.64,0.4,0.06,0.04,25%,18%,8/44,25,173,177,108,15,12
398,lz Real,(+2),227,1.03,188.6,0.99,76%,119.8,0.66,0.37,0.06,0.07,33%,3%,1/37,25,149,151,85,14,16
399,favseven BBC,(+3),250,1.03,187.3,1.01,75%,126.9,0.68,0.36,0.06,0.1,28%,12%,3/25,31,171,169,89,16,24
400,JonahP TGRD,,427,1.03,184.9,0.94,74%,117.0,0.62,0.5,0.09,0.09,24%,18%,7/38,27,266,284,214,40,40
401,supremjo EYG,,589,1.03,209.0,1.0,75%,132.8,0.73,0.42,0.08,0.08,24%,5%,3/55,33,430,431,247,45,47
402,Duno TWIS,(+3),405,1.03,189.0,1.01,71%,122.9,0.66,0.38,0.07,0.06,22%,8%,5/60,21,266,264,152,28,24
403,ChAlalala AAA,,410,1.03,192.4,1.03,72%,130.2,0.68,0.16,0.07,0.06,23%,18%,11/61,24,279,272,66,27,23
404,Apinya FS,(+5),385,1.03,222.4,1.03,75%,141.9,0.77,0.39,0.11,0.11,28%,16%,4/25,25,296,288,150,41,43
405,Nicc DRG,(+1),458,1.03,191.8,0.99,74%,121.0,0.68,0.42,0.07,0.06,27%,10%,6/59,25,311,313,193,31,29
406,frostmind INA,,455,1.03,187.7,1.06,72%,129.6,0.65,0.2,0.05,0.05,29%,13%,8/61,28,298,282,89,25,23
407,Acerola,(+2),338,1.03,199.4,1.0,71%,127.3,0.7,0.47,0.08,0.09,29%,18%,9/49,25,238,239,160,26,29
408,Eso177 B8,,264,1.03,219.3,1.08,68%,157.0,0.77,0.16,0.07,0.08,30%,15%,8/52,25,204,189,41,19,22
409,Vera SGP,(+2),452,1.03,236.4,1.02,71%,154.4,0.79,0.26,0.19,0.18,20%,16%,5/32,26,356,348,118,85,80
410,Fatmarino Peit,(+2),328,1.03,190.5,1.04,72%,120.2,0.68,0.29,0.06,0.1,28%,17%,5/29,22,222,214,96,19,32
411,cidZzZ DELI,,234,1.03,197.5,1.06,74%,136.2,0.71,0.29,0.08,0.05,28%,19%,7/36,25,166,157,68,19,11
412,sibeastw0w NASR,(+1),381,1.03,227.9,1.14,69%,147.0,0.83,0.12,0.19,0.18,27%,17%,5/29,33,318,280,47,73,69
413,Khalil FUR,(+2),231,1.03,187.0,1.01,75%,117.7,0.65,0.26,0.04,0.05,26%,15%,5/33,25,151,149,60,10,12
414,eleo UOL,,217,1.03,186.5,0.99,72%,129.4,0.64,0.38,0.06,0.11,24%,31%,8/26,18,139,141,83,13,24
415,moobs CR,(+3),289,1.02,220.8,1.0,70%,141.5,0.74,0.24,0.17,0.17,25%,10%,2/21,24,215,214,70,49,48
416,nillyaz OR,,276,1.02,209.4,1.01,72%,144.4,0.71,0.24,0.09,0.09,26%,12%,5/41,24,196,194,66,26,24
417,Knight,(+1),451,1.02,206.8,0.98,74%,133.0,0.73,0.46,0.1,0.07,26%,9%,4/44,26,327,333,208,44,33
418,grubinho ANM,(+5),330,1.02,192.9,0.99,68%,129.0,0.68,0.37,0.06,0.09,36%,25%,8/32,22,224,227,122,20,31
419,klipp,(+4),320,1.02,215.7,1.04,72%,140.3,0.77,0.25,0.11,0.08,31%,15%,8/52,32,245,236,79,36,25
420,Nahsie SHFT,(+1),289,1.02,208.1,0.96,70%,132.6,0.72,0.49,0.08,0.08,21%,19%,7/37,28,208,216,142,24,23
421,Cebando AK,(+1),302,1.02,208.0,0.98,74%,134.5,0.72,0.46,0.08,0.11,31%,15%,5/34,29,216,220,140,24,34
422,Luc1d UOL,,217,1.02,208.5,1.1,67%,132.1,0.79,0.09,0.18,0.16,35%,11%,2/19,25,172,156,20,38,35
423,Andrew,(+1),275,1.02,220.7,1.07,75%,149.8,0.78,0.28,0.13,0.18,24%,18%,5/28,32,214,200,78,37,50
424,JinNy FS.SPH,,225,1.02,179.5,0.94,76%,121.0,0.61,0.4,0.05,0.08,26%,13%,5/40,19,138,147,91,11,18
425,bang 100T,(+1),337,1.02,205.6,1.0,70%,132.9,0.74,0.33,0.1,0.1,35%,18%,6/33,25,248,248,112,34,35
426,Hoax GDR,(+1),414,1.02,181.2,0.92,74%,117.8,0.61,0.38,0.05,0.06,21%,9%,4/45,20,253,275,157,22,23
427,siraphop XIA,,287,1.02,211.4,1.05,73%,143.2,0.75,0.28,0.07,0.05,36%,17%,8/48,26,216,205,80,19,14
428,RIPablo IGZ,(+1),228,1.02,179.7,0.96,75%,108.9,0.62,0.43,0.04,0.08,22%,14%,4/29,18,142,148,99,10,18
429,Urango BTF,(+3),434,1.02,215.4,0.96,74%,136.9,0.73,0.44,0.12,0.09,26%,30%,10/33,25,316,330,189,51,39
430,snw TZ,,315,1.02,236.7,1.09,71%,145.4,0.82,0.15,0.19,0.16,24%,11%,4/35,26,257,236,47,60,49
431,raafa UNI,(+2),375,1.02,186.5,1.0,71%,115.6,0.65,0.37,0.08,0.13,20%,8%,3/36,27,243,244,138,31,49
432,Gunners GF2,(+1),216,1.02,200.6,0.94,73%,129.4,0.7,0.42,0.08,0.05,28%,28%,7/25,23,151,160,90,18,11
433,epathy NSIC,(+1),538,1.02,227.3,1.11,70%,145.1,0.8,0.16,0.21,0.19,25%,19%,10/52,27,431,388,84,115,104
434,ShawateRR UNT,(+1),411,1.02,198.1,0.95,74%,133.0,0.69,0.37,0.06,0.05,30%,22%,10/45,27,284,298,151,26,22
435,flyuh MxM,(+1),351,1.02,202.6,0.99,75%,130.5,0.7,0.33,0.09,0.11,27%,14%,5/35,23,246,248,115,30,38
436,seven TSM,,378,1.02,205.0,1.02,74%,135.8,0.71,0.22,0.12,0.11,20%,15%,5/33,26,268,262,85,45,43
437,KHS TAMU,(+1),334,1.01,216.5,0.99,72%,150.4,0.75,0.3,0.09,0.06,23%,11%,5/45,31,250,252,100,29,20
438,xenon TWIS,(+1),405,1.01,184.3,0.96,73%,121.0,0.66,0.42,0.08,0.09,33%,19%,9/48,25,267,278,172,31,36
439,N A I S GMT,,229,1.01,167.1,0.86,72%,112.2,0.56,0.39,0.05,0.07,27%,11%,3/27,17,128,149,89,12,17
440,FengF TTG,,394,1.01,213.5,0.94,70%,149.3,0.71,0.26,0.11,0.09,27%,22%,10/45,26,280,297,103,43,34
441,d0rf VIE,(+1),472,1.01,204.5,0.95,72%,133.5,0.71,0.39,0.09,0.08,25%,16%,11/70,28,333,352,186,41,38
442,KHaaLiD FLC,(+2),388,1.01,194.9,1.04,73%,130.1,0.69,0.34,0.07,0.09,30%,26%,9/34,27,267,257,133,26,36
443,roxie CASE,(+2),478,1.01,189.6,0.96,71%,122.5,0.65,0.28,0.09,0.09,39%,6%,4/65,21,313,326,132,41,43
444,sae Blinn,,305,1.01,207.2,1.04,67%,129.8,0.72,0.2,0.18,0.15,16%,5%,1/19,20,220,212,61,54,46
445,flabben RGE,,285,1.01,210.2,1.05,68%,139.4,0.73,0.18,0.14,0.16,30%,19%,8/42,25,208,198,51,40,46
446,Sand EGYPT,,273,1.01,181.2,0.99,73%,127.4,0.66,0.17,0.07,0.05,25%,22%,9/41,26,180,181,46,19,14
447,dgzin FUR,,231,1.01,223.2,1.04,69%,139.7,0.78,0.15,0.23,0.15,24%,18%,4/22,27,180,173,35,52,35
448,Suka VIE,(+1),248,1.01,200.9,1.01,73%,137.8,0.71,0.32,0.04,0.07,27%,12%,5/41,21,175,173,80,11,17
449,caydeN DSY,,202,1.01,186.5,1.05,70%,126.6,0.67,0.29,0.06,0.06,27%,5%,1/21,19,136,130,58,13,12
450,purp0 FKS,,222,1.01,184.8,0.99,74%,122.9,0.66,0.35,0.09,0.1,33%,36%,10/28,19,146,147,78,21,23
451,Rexgator FCN,,427,1.01,192.9,1.01,73%,126.6,0.66,0.27,0.1,0.09,18%,12%,5/42,27,283,281,115,43,40
452,BORKUM TS,(+2),209,1.01,189.2,0.9,73%,117.4,0.63,0.42,0.07,0.1,19%,28%,8/29,20,131,145,88,15,21
453,refinnej FaZe,,373,1.01,208.5,1.11,73%,142.7,0.75,0.15,0.09,0.08,19%,20%,13/65,31,281,253,57,35,31
454,yetujey FF,(+1),490,1.01,186.8,1.1,72%,130.2,0.68,0.16,0.05,0.06,27%,19%,16/85,28,331,301,79,26,27
455,NagZ KRÜ,,241,1.01,201.1,0.99,72%,137.4,0.67,0.27,0.1,0.05,18%,16%,7/44,20,161,162,64,25,12
456,Tempz X10,(+2),452,1.01,198.1,0.93,75%,127.6,0.67,0.4,0.07,0.07,27%,8%,5/62,20,303,325,180,30,33
457,avery DART,(+1),334,1.01,202.3,0.98,70%,132.7,0.69,0.34,0.08,0.08,32%,15%,8/52,23,229,234,115,28,26
458,Dambi,(+2),253,1.01,215.9,1.04,73%,139.1,0.77,0.24,0.11,0.14,18%,15%,4/27,25,195,188,60,28,36
459,Nightmare zL,,227,1.01,200.1,0.94,70%,133.9,0.66,0.42,0.11,0.17,19%,15%,2/13,24,149,158,96,26,38
460,Shiro BME,,566,1.01,188.2,0.94,76%,125.1,0.64,0.45,0.06,0.05,28%,16%,11/70,25,365,387,253,33,29
461,RND RED,(+1),342,1.01,215.6,1.11,70%,137.8,0.75,0.15,0.11,0.1,21%,19%,9/47,21,257,232,53,38,33
462,punda FC,(+2),309,1.01,186.1,0.94,72%,119.0,0.61,0.42,0.06,0.06,20%,21%,10/47,20,189,202,131,18,20
463,Fearozen Fina,,204,1.01,185.8,0.97,72%,123.9,0.66,0.31,0.08,0.07,26%,18%,9/51,22,135,139,64,16,15
464,JohnOlsen FS,(+3),385,1.01,212.8,1.06,71%,139.0,0.75,0.2,0.12,0.11,26%,12%,6/49,28,290,273,78,47,43
465,niffy CRT,(+1),322,1.01,194.7,0.98,77%,132.6,0.68,0.46,0.07,0.05,22%,9%,3/35,30,219,223,149,22,15
466,Donovan DK,(+3),271,1.01,175.8,0.91,70%,116.7,0.59,0.36,0.06,0.06,25%,10%,3/31,17,161,177,97,17,15
467,basbabe AAA,(+1),410,1.01,176.5,0.9,72%,113.7,0.61,0.5,0.05,0.08,28%,26%,12/46,27,252,279,207,22,31
468,Vyx,(+1),275,1.01,200.8,0.98,77%,126.4,0.71,0.46,0.05,0.1,28%,22%,7/32,24,195,198,126,14,27
469,forbanz,,234,1.01,244.1,1.09,70%,151.6,0.85,0.15,0.21,0.18,25%,21%,6/29,26,199,182,35,48,42
470,Lin YFP,,437,1.01,205.7,1.02,72%,137.6,0.71,0.29,0.06,0.07,22%,6%,3/47,24,309,303,126,27,29
471,Lorri SR.GC,,262,1.01,199.8,0.96,75%,127.6,0.7,0.4,0.04,0.07,22%,8%,2/24,21,183,190,104,11,18
472,nAts TL,,209,1.01,204.7,1.11,73%,138.0,0.75,0.24,0.09,0.07,33%,3%,1/29,33,156,140,50,18,14
473,katsumi XSET,(+1),368,1.01,207.4,1.08,72%,133.3,0.75,0.21,0.11,0.08,29%,13%,6/46,27,277,257,78,41,29
474,denzo HMB,,320,1.01,242.1,1.03,68%,151.9,0.83,0.2,0.21,0.21,27%,22%,6/27,29,264,257,63,67,66
475,Winteryrook TU,,253,1.01,217.8,0.96,72%,139.3,0.72,0.42,0.1,0.08,25%,6%,1/18,21,182,189,105,26,19
476,Rb DRX,(+3),276,1.01,184.6,1.01,72%,115.1,0.64,0.31,0.08,0.07,22%,33%,8/24,22,176,174,86,21,20
477,gotten DOM,(+1),239,1.0,188.9,0.91,72%,123.1,0.66,0.48,0.04,0.08,28%,28%,9/32,26,158,174,115,9,19
478,MOJJ FUT,,228,1.0,197.5,1.0,68%,133.8,0.68,0.24,0.09,0.1,25%,22%,6/27,22,155,155,54,20,22
479,Flex1n,,394,1.0,187.1,0.91,74%,121.1,0.65,0.47,0.06,0.07,27%,12%,7/57,22,256,282,186,25,28
480,chase TBK,,238,1.0,232.3,1.08,70%,146.9,0.8,0.19,0.16,0.19,24%,18%,3/17,23,191,177,45,39,45
481,lule BD.FE,,298,1.0,246.0,1.04,70%,164.3,0.81,0.23,0.17,0.22,18%,17%,3/18,24,241,232,68,52,65
482,rCk RIZO,,318,1.0,193.6,0.9,70%,134.7,0.64,0.38,0.07,0.05,25%,28%,11/39,22,203,226,121,23,17
483,Bazzi GES,(+1),285,1.0,191.2,0.93,78%,121.2,0.63,0.46,0.05,0.04,17%,12%,5/42,25,180,193,132,14,10
484,Kishi ASTR,(+3),203,1.0,212.2,0.98,67%,132.1,0.76,0.3,0.11,0.13,30%,18%,2/11,28,154,157,60,23,27
485,CALVIN S RV,(+2),619,1.0,195.1,0.97,70%,130.8,0.68,0.36,0.05,0.06,31%,17%,17/102,27,424,438,224,34,36
486,MrFaliN FUT,(+3),228,1.0,195.9,0.89,69%,124.1,0.64,0.43,0.08,0.12,20%,26%,6/23,21,147,165,97,19,27
487,Linus ECO,(+1),429,1.0,174.8,0.91,73%,112.3,0.61,0.39,0.04,0.06,24%,10%,6/61,21,263,288,168,18,24
488,Jini HEIZ,(+1),497,1.0,201.9,0.94,72%,127.2,0.7,0.32,0.11,0.08,23%,16%,9/58,23,348,370,159,54,41
489,Kakarot NAOS,(+1),221,1.0,206.3,1.04,71%,136.0,0.75,0.29,0.07,0.06,25%,17%,7/42,27,165,159,63,16,13
490,alvar FLC,(+2),388,1.0,213.3,0.98,73%,141.2,0.72,0.31,0.14,0.18,24%,11%,5/46,25,281,287,121,55,69
491,Tang CAPY,(+3),248,1.0,218.3,0.98,71%,134.2,0.71,0.37,0.09,0.08,17%,29%,10/34,23,176,179,91,22,20
492,capriciouS OGT.X,,431,1.0,205.6,1.06,69%,129.1,0.75,0.13,0.19,0.19,35%,20%,8/40,25,325,307,58,83,82
493,pdr SH,(+1),315,1.0,208.3,1.04,73%,132.4,0.73,0.3,0.05,0.07,27%,7%,3/42,27,230,222,96,16,23
494,showliana EG.GC,(+1),517,1.0,189.7,0.92,71%,123.7,0.63,0.32,0.08,0.09,20%,17%,8/47,24,324,352,166,43,47
495,MatiS INF,,330,1.0,214.6,1.09,73%,139.0,0.76,0.2,0.12,0.09,19%,22%,6/27,24,251,231,65,41,30
496,chanformer eM,,201,1.0,181.3,0.89,73%,120.1,0.6,0.43,0.08,0.05,19%,32%,7/22,16,120,135,86,17,11
497,adrnking AE,(+3),363,1.0,176.2,0.95,74%,114.0,0.61,0.43,0.04,0.06,26%,17%,7/42,20,222,234,157,14,23
498,ceeJay VRA,,304,1.0,166.0,0.9,78%,108.2,0.57,0.51,0.05,0.09,23%,24%,8/33,22,174,194,156,14,28
499,azury CGN,,324,1.0,197.2,1.09,72%,133.2,0.69,0.18,0.1,0.07,25%,4%,2/48,23,224,206,58,31,23
500,bld ODK,,327,1.0,207.1,1.1,68%,139.3,0.75,0.13,0.07,0.09,27%,15%,6/40,24,246,223,44,22,31
501,fzkk ODK,,277,1.0,198.4,0.97,70%,120.9,0.7,0.4,0.08,0.09,22%,19%,5/26,22,193,200,110,23,25
502,ngiN AT,,293,1.0,210.9,1.12,70%,137.2,0.75,0.18,0.06,0.05,22%,11%,6/56,28,220,197,52,18,15
503,Magnus RV,,341,1.0,238.6,1.01,72%,160.7,0.83,0.18,0.21,0.17,30%,5%,1/22,27,283,280,60,72,59
504,Louitan AT,(+2),293,1.0,226.1,1.06,71%,144.9,0.77,0.31,0.14,0.15,23%,11%,2/18,28,227,215,91,40,45
505,Jazzyk1ns COL,(+4),565,1.0,223.4,1.02,70%,144.7,0.75,0.28,0.16,0.18,20%,11%,4/38,24,422,413,160,93,100
506,xffero RRQ,(+3),227,1.0,202.6,1.03,74%,127.2,0.72,0.3,0.07,0.06,26%,5%,2/39,21,163,158,69,17,13
507,Smoggy EDG,(+3),442,1.0,195.3,1.03,71%,130.3,0.69,0.22,0.07,0.06,29%,18%,10/57,28,307,299,96,32,28
508,sHMeaty FaZe,(+2),373,1.0,240.1,1.05,69%,155.5,0.83,0.23,0.19,0.2,21%,11%,3/28,27,308,294,87,72,75
509,POISED FaZe,(+1),291,1.0,214.9,1.02,73%,138.3,0.74,0.29,0.07,0.07,25%,4%,2/47,33,214,210,85,19,19
510,plaza FIU,(+4),424,0.99,225.9,1.03,68%,145.0,0.77,0.23,0.15,0.15,25%,25%,7/28,28,328,319,98,64,62
511,beyAz M8,,269,0.99,172.0,0.96,71%,118.4,0.63,0.28,0.07,0.07,25%,9%,2/22,25,169,176,76,18,20
512,RxYaL RV,,429,0.99,202.0,1.05,68%,132.7,0.73,0.15,0.11,0.09,23%,10%,7/70,30,313,297,65,47,40
513,vanity SR,(+2),223,0.99,176.4,0.89,74%,115.1,0.6,0.46,0.09,0.09,19%,23%,5/22,19,134,150,102,20,21
514,M1kE FC,(+2),309,0.99,202.1,1.01,70%,135.4,0.68,0.23,0.09,0.1,22%,24%,8/34,23,209,207,72,27,31
515,sterben SUP,(+3),547,0.99,194.6,0.94,69%,124.5,0.66,0.37,0.11,0.1,34%,11%,6/54,24,360,381,205,62,56
516,xuss ANM,,330,0.99,219.8,1.06,70%,144.6,0.79,0.1,0.21,0.12,27%,5%,2/40,41,262,247,32,69,41
517,tuyz LOUD,(+1),440,0.99,162.0,0.91,77%,106.2,0.58,0.44,0.05,0.06,28%,14%,7/50,18,257,283,195,22,25
518,moefcute UBT,,338,0.99,218.2,1.05,68%,140.2,0.79,0.16,0.2,0.21,32%,16%,3/19,30,266,253,53,69,71
519,tweethy,,396,0.99,200.3,1.02,67%,140.2,0.7,0.16,0.07,0.1,26%,16%,9/56,22,276,270,62,28,39
520,snikk ANM,(+1),330,0.99,189.3,1.01,68%,129.7,0.7,0.27,0.08,0.06,35%,19%,7/36,27,231,228,90,25,21
521,aproto MxM,,351,0.99,182.7,1.04,73%,124.2,0.68,0.18,0.05,0.07,32%,20%,8/41,22,238,228,64,19,25
522,Yosemite SN,,451,0.99,199.2,1.01,71%,134.5,0.68,0.23,0.06,0.08,23%,13%,8/60,20,306,304,102,29,37
523,BerserX BME,,310,0.99,206.1,1.02,70%,138.2,0.72,0.17,0.09,0.1,22%,8%,3/38,32,223,219,53,27,32
524,Varlas OVA,(+2),224,0.99,198.6,0.94,71%,131.3,0.67,0.36,0.09,0.07,31%,3%,1/32,24,150,160,80,20,15
525,Newky WSF,(+1),248,0.99,214.8,1.04,71%,141.8,0.8,0.33,0.13,0.13,32%,12%,3/25,28,198,190,83,31,31
526,PAULTATO KPC,,332,0.99,190.3,0.99,70%,134.1,0.67,0.15,0.06,0.06,22%,15%,12/82,25,221,224,51,20,21
527,Entri OC,(+2),440,0.99,211.0,1.02,66%,133.8,0.75,0.13,0.12,0.1,19%,15%,12/81,25,329,321,56,53,45
528,Glenn ECO,(+2),409,0.99,211.4,1.01,73%,138.5,0.73,0.35,0.11,0.1,24%,11%,6/53,25,297,294,144,46,40
529,nobody EDG,(+2),442,0.99,193.7,0.95,75%,129.5,0.65,0.37,0.08,0.07,27%,7%,3/44,25,287,301,162,37,31
530,Nay ARF,(+1),358,0.99,193.8,1.0,70%,125.3,0.7,0.19,0.06,0.06,25%,18%,9/49,26,251,251,68,23,21
531,Andersin BTR,(+1),300,0.99,201.2,0.92,68%,128.4,0.68,0.43,0.07,0.1,24%,21%,6/29,22,203,221,129,21,30
532,Torrify NBG,(+2),211,0.99,200.6,1.03,72%,131.5,0.71,0.2,0.1,0.15,19%,9%,2/23,22,150,146,42,22,32
533,bipo GMT,,229,0.99,191.3,0.98,74%,130.4,0.68,0.34,0.13,0.12,29%,21%,5/24,25,156,160,77,29,27
534,P I G G Y PFlu,,364,0.99,184.0,0.9,74%,116.5,0.63,0.45,0.05,0.07,25%,20%,8/40,19,228,254,163,19,27
535,JoXJo FL,(+2),364,0.99,168.9,0.84,75%,117.7,0.56,0.51,0.09,0.12,23%,15%,5/33,20,204,244,186,33,42
536,ValdyN RRQ,(+2),364,0.99,205.9,0.94,68%,134.1,0.71,0.32,0.09,0.06,22%,9%,5/53,23,260,276,118,34,21
537,t3xture GES,(+1),265,0.99,208.4,1.06,71%,128.6,0.76,0.16,0.15,0.14,24%,19%,5/27,24,202,191,43,40,38
538,Askia TBS,,538,0.99,228.6,1.01,71%,151.1,0.76,0.2,0.18,0.19,22%,14%,5/37,25,410,406,106,95,104
539,Maverick TOP,(+4),551,0.99,202.0,0.95,73%,134.8,0.68,0.37,0.09,0.11,23%,18%,10/55,24,373,392,202,52,61
540,edith MSF,(+1),338,0.99,234.5,1.06,66%,146.9,0.82,0.18,0.2,0.18,25%,9%,3/32,32,276,260,60,66,62
541,jacobin ODK,(+1),327,0.99,183.7,0.87,75%,118.5,0.61,0.51,0.06,0.09,19%,12%,5/42,21,199,229,166,19,29
542,fourleaf,,310,0.99,207.2,1.01,69%,140.9,0.7,0.2,0.14,0.08,21%,11%,5/47,21,217,214,63,42,25
543,Velocity UAESA.G,,240,0.99,208.6,0.98,68%,145.7,0.72,0.19,0.11,0.09,23%,21%,9/43,26,172,176,46,26,21
544,NightmareSan RIZO,,318,0.99,162.9,0.92,76%,104.9,0.58,0.51,0.03,0.05,28%,14%,7/49,19,186,202,161,10,15
545,penny G2,(+2),525,0.99,185.3,0.93,74%,120.1,0.65,0.43,0.06,0.09,22%,13%,7/52,32,343,367,227,34,49
546,hypeRR BBC,(+5),547,0.99,209.3,0.97,68%,138.9,0.71,0.3,0.13,0.16,18%,11%,5/47,34,390,402,165,70,87
547,dapr SEN,,525,0.99,194.8,0.98,74%,131.7,0.68,0.27,0.11,0.1,19%,12%,7/60,32,358,365,143,60,53
548,MATTyx,,234,0.99,222.8,1.01,66%,143.3,0.73,0.21,0.07,0.12,22%,7%,2/27,24,170,169,48,17,29
549,fuzari SH,,551,0.99,185.4,1.04,74%,123.3,0.67,0.17,0.06,0.04,23%,16%,15/91,20,371,357,93,34,24
550,mle MxM.R,,612,0.99,199.7,0.94,75%,130.9,0.68,0.36,0.1,0.14,31%,11%,7/64,24,417,442,219,60,84
551,Legolas PURP,(+4),524,0.99,203.2,1.03,66%,133.7,0.75,0.18,0.11,0.12,31%,13%,5/40,34,393,381,93,59,62
552,Fighter,,271,0.99,201.8,0.99,73%,134.2,0.73,0.31,0.08,0.1,26%,12%,2/17,24,197,198,85,23,26
553,Felix MARU,(+3),256,0.99,199.2,0.99,72%,126.5,0.68,0.26,0.06,0.09,22%,4%,1/28,25,175,177,66,16,23
554,Antidote OGS,,330,0.99,171.4,1.03,72%,118.6,0.62,0.26,0.07,0.08,21%,18%,6/33,25,205,199,85,24,28
555,FOX MDL,(+1),280,0.98,190.3,0.91,69%,125.1,0.65,0.44,0.07,0.08,27%,3%,1/31,25,182,201,123,19,22
556,MARKEZZ Siss,(+3),497,0.98,181.3,0.94,70%,118.1,0.64,0.41,0.06,0.08,26%,13%,8/62,29,318,337,204,28,42
557,banx EYG,,256,0.98,215.0,1.01,68%,147.8,0.73,0.19,0.09,0.07,19%,9%,3/33,26,188,186,49,23,17
558,Treelover UOL,,217,0.98,196.6,0.85,71%,127.0,0.64,0.46,0.09,0.09,26%,9%,2/23,20,139,164,100,19,19
559,Dazlly TWIS,,405,0.98,211.7,0.95,72%,144.6,0.69,0.24,0.11,0.07,20%,8%,4/53,22,281,295,96,44,29
560,Kixer RV,(+2),511,0.98,199.1,0.91,77%,132.5,0.68,0.45,0.08,0.12,23%,13%,4/32,25,350,383,230,42,62
561,JSP QoR,,222,0.98,217.0,1.07,68%,143.0,0.78,0.2,0.15,0.17,28%,26%,5/19,32,173,162,44,34,38
562,Rossy TTR,,302,0.98,192.2,0.85,74%,125.4,0.62,0.46,0.07,0.08,23%,12%,5/43,20,188,221,139,22,24
563,Derrek 100T,(+1),337,0.98,191.6,0.94,71%,132.3,0.66,0.33,0.06,0.06,30%,8%,5/60,23,223,238,112,21,20
564,eugeneS SKYE,(+1),208,0.98,217.5,0.95,66%,142.8,0.75,0.2,0.15,0.15,32%,8%,1/12,20,157,165,41,31,32
565,Korsonix EMP,,260,0.98,199.0,1.04,68%,133.0,0.7,0.16,0.05,0.09,24%,10%,4/39,27,182,175,42,13,24
566,jeffie Grou,(+1),263,0.98,198.7,0.95,71%,128.9,0.69,0.41,0.06,0.08,30%,15%,6/40,27,181,190,108,17,21
567,vaLi Siss,(+4),587,0.98,175.4,0.9,76%,112.6,0.61,0.42,0.07,0.07,23%,18%,10/57,22,359,399,244,42,43
568,stellar 100T,,337,0.98,190.7,1.0,71%,130.4,0.69,0.23,0.07,0.09,21%,10%,4/42,25,233,232,76,25,30
569,Vernina MSF,,338,0.98,208.6,1.04,69%,141.4,0.74,0.14,0.12,0.09,25%,15%,7/47,28,251,241,47,40,30
570,mitch OXG,(+2),465,0.98,184.9,0.87,75%,121.5,0.61,0.49,0.08,0.07,22%,21%,8/38,21,282,323,230,37,34
571,scarn EMP,,435,0.98,232.6,1.02,69%,154.2,0.8,0.18,0.19,0.19,22%,3%,1/33,26,346,339,79,81,82
572,moner OXR,,237,0.98,184.5,1.04,68%,126.6,0.68,0.15,0.06,0.06,24%,14%,6/44,23,160,154,35,15,15
573,k1ngkappa,,379,0.98,235.5,1.01,65%,151.4,0.8,0.14,0.19,0.19,25%,17%,5/30,30,304,302,54,73,71
574,Prti DIA,(+3),227,0.98,184.5,0.84,71%,128.8,0.63,0.33,0.11,0.07,27%,14%,3/22,25,144,171,76,26,16
575,kAzoo 3E,,459,0.98,208.1,1.02,68%,142.2,0.75,0.15,0.1,0.1,39%,12%,7/60,32,343,335,67,44,44
576,Fung3,,261,0.98,184.7,0.97,73%,118.7,0.67,0.41,0.1,0.04,28%,25%,8/32,20,176,182,107,25,10
577,neptune NSIC,(+3),437,0.98,196.2,1.0,76%,124.8,0.69,0.31,0.1,0.07,28%,17%,7/41,23,303,302,137,43,30
578,Yaamori,,252,0.98,239.3,1.05,68%,151.8,0.87,0.12,0.25,0.17,27%,15%,3/20,39,218,208,29,62,44
579,Tag DSY,,202,0.98,179.0,0.83,73%,112.4,0.6,0.52,0.03,0.05,21%,10%,2/21,20,121,145,106,7,10
580,FREY SGP,,244,0.98,212.8,1.0,72%,139.9,0.73,0.24,0.11,0.07,24%,10%,3/29,23,179,179,59,26,18
581,fiziq OR,(+1),476,0.98,185.0,0.95,74%,126.0,0.64,0.37,0.08,0.08,27%,15%,9/60,25,303,318,174,40,38
